objectid,trail_id,trail_name,park_name_short,park_name,park_name_full,blaze_color_full,blaze_color_short,base_color,cap_color,dot_color,dash_color,image_link,mileage,track,track_num,difficulty,configuration,surface,service_road,globalid,trail_status,shape_length
12868,RH2644, ,RH,Round Hill,Round Hill Park,,,,,,,,0.14411171,,,,,,,{41260767-2709-4315-8FD8-9BF79794F75B},Closed,0.00230060577731097
12869,RH2645, ,RH,Round Hill,Round Hill Park,,,,,,,,0.16533889,,,,,,,{7B5675A9-71C1-469F-AF38-4571D41EF8C5},Closed,0.00266529133069684
12870,RH2646, ,RH,Round Hill,Round Hill Park,,,,,,,,0.30987726,,,,,,,{D507F678-9C6E-46AD-9168-2F370881CCEA},Closed,0.00527266102052165
12871,RH2647, ,RH,Round Hill,Round Hill Park,,,,,,,,0.08534451,,,,,,,{5575D8E8-22F4-4845-B24E-6892F0EBFA4C},Closed,0.00132246864380048
12872,RH2648, ,RH,Round Hill,Round Hill Park,,,,,,,,0.20239407,,,,,,,{AE9FEF47-EA30-4731-90BB-A9F51F9F3E6C},Closed,0.00308164775825682
12873,RH2649, ,RH,Round Hill,Round Hill Park,,,,,,,,0.71654412,,,,,,,{3165A6F2-2193-470D-A0A0-E79935818868},Closed,0.0131240179229337
12874,RH2650, ,RH,Round Hill,Round Hill Park,,,,,,,,0.39150645,,,,,,,{481C3A31-1D07-4B96-9672-FA35BA2FA576},Closed,0.00704805193337314
12875,RH2651, ,RH,Round Hill,Round Hill Park,,,,,,,,0.27736699,,,,,,,{0A6C2767-DDE1-488D-B740-68B690ED415B},Closed,0.00503917344371233
12876,RH2652, ,RH,Round Hill,Round Hill Park,,,,,,,,1.12712658,,,,,,,{D5F29958-4EEF-4B26-93D8-B15FBAD1B72A},Closed,0.0187944246936257
13007,HH4755, ,HH,Harrison Hills,Harrison Hills Park,,,,,,,,0.04190102,,,,,,,{7C0F13AD-5A00-4B3A-8F8A-6D3967CB01E2},Active,0.000785397688059246
13008,HH4757, ,HH,Harrison Hills,Harrison Hills Park,,,,,,,,0.04319621,,,,,,,{C8AE4E89-CD9F-4D7B-9207-783C2F678AA5},Closed,0.000790031489158289
13009,HH4759, ,HH,Harrison Hills,Harrison Hills Park,,,,,,,,0.14931159,,,,,,,{B258DC6A-45C7-40B5-8D11-99358E0C2244},Active,0.00276922398138512
13010,HH4763, ,HH,Harrison Hills,Harrison Hills Park,,,,,,,,0.19932495,,,,,,,{08FF06C6-6DEE-4BC4-A861-1BD30AAB624C},Active,0.00343257496198515
13011,HH13022,Green,HH,Harrison Hills,Harrison Hills Park,Green,GN,Green,,,,http://apps.alleghenycounty.us/GIS/GREENbase.png,1.9678255,,,Moderate,Loop,Dirt,No,{B929A48D-D220-49F7-9A65-154C612076E1},Active,0.0330649186557806
13012,HH4765,Purple,HH,Harrison Hills,Harrison Hills Park,Purple,PL,Purple, , , ,http://apps.alleghenycounty.us/GIS/PURPLEbase.png,1.23581911,,,Easy-Moderate,Loop,,,{E42E9F84-1DAF-49DF-9165-4794E34DC0B1},Active,0.0215189707803373
13013,HH4766,White,HH,Harrison Hills,Harrison Hills Park,White,WT,White, , , ,http://apps.alleghenycounty.us/GIS/WHITEbase.png,1.27816314,,,Easy-Moderate,Loop,,,{D7F5DBA6-9E05-4F5C-B795-B84AB4A88CF6},Active,0.0219802022870788
13014,HH4767,Blue,HH,Harrison Hills,Harrison Hills Park,Blue,BL,Blue, , , ,http://apps.alleghenycounty.us/GIS/BLUEbase.png,0.63353647,,,Easy,Loop,,,{CF8FDC6E-7ABD-45EE-B596-3D8610A4D2E4},Active,0.0105887139054923
13015,HH13026, ,HH,Harrison Hills,Harrison Hills Park,<Null>,<Null>,, , ,,<Null>,0.4302681,,,Easy-Moderate,Connector,,,{EDE6C38B-5061-4977-9D7C-8A45771318DC},Closed,0.00674601041799526
13016,HH4770,Gravel or Paved Trail/Road,HH,Harrison Hills,Harrison Hills Park,Gravel or Paved Trail/Road,GY,Gray, , , ,http://apps.alleghenycounty.us/GIS/GRAY.png,0.33843602,,,Easy,Paved Loop,Asphalt,No,{38BF6548-9A0F-46B1-9F95-1E2F30782F1C},Active,0.00550737341312474
13017,HH4772, ,HH,Harrison Hills,Harrison Hills Park,,,,,,,,0.05674948,,,Easy,Access,,,{C7DC5AB3-8449-4821-8CA5-C378E26E734B},Active,0.000859469574004395
13018,HH4773,Gravel or Paved Trail/Road,HH,Harrison Hills,Harrison Hills Park,Gravel or Paved Trail/Road,GY,Gray,,,,http://apps.alleghenycounty.us/GIS/GRAY.png,0.37568,,,Easy,Point to Point,Asphalt,Yes,{A170CB4B-CEA7-430B-9C46-3CD91D720CDC},Active,0.00573303509752586
13019,HH4775, ,HH,Harrison Hills,Harrison Hills Park,<Null>,<Null>,, , , ,<Null>,0.31972589,,,Moderate,Point to Point,,,{9C2E260F-8B97-4361-90A4-823C0EC9FC7E},Closed,0.0051381418899991
13138,HH42066,Decommissioned Red,HH,Harrison Hills,Harrison Hills Park,<Null>,<Null>,,,,,<Null>,0.0551606,,,,,,,{77232604-A8E6-4859-BF43-D4672BB9F247},Closed,0.000908059994717592
13148,HH42503,Intra Park Connector,HH,Harrison Hills,Harrison Hills Park,,,,,,,,0.02943048,,,Easy-Moderate,Connector,Dirt,No,{24476E04-F808-4B9D-BEE4-A8989790D15F},Active,0.000539419200371372
13152,HH45251,Yakaon Shelter - Red Trail Access,HH,Harrison Hills,Harrison Hills Park,,,,,,,,0.33228998,,,Moderate,Access,,No,{EE9A78C8-E8AF-4EFF-987C-CE690FCE06A6},Active,0.0055673522041222
13161,HH42936, ,HH,Harrison Hills,Harrison Hills Park,<Null>,<Null>,,,,,<Null>,0.65672626,,,,,Dirt,,{28B8B3E4-3E8F-40A0-B2A9-8B47D252C6D2},Active,0.0110111170756348
13162,HH4769, ,HH,Harrison Hills,Harrison Hills Park,<Null>,<Null>,,,,,<Null>,0.09661919,,,Easy,Connector,Dirt,No,{1DEA44CA-55A2-4023-ADAA-309B6EFDF011},Active,0.00144278556163561
